inv_id,art_code,quantity,expiration_date,batch_id
1,C00114985,1000,2025-08-17,1
2,C00114985,1000,2025-08-17,1
3,C00114985,1000,2025-08-17,1
4,C00114985,666,2025-08-17,1
5,C00114985,674,2026-01-01,2
6,C00114985,1000,2025-12-22,3
7,C00114985,241,2025-12-22,3
8,C00114985,1000,2025-10-24,4
9,C00114985,449,2025-10-24,4
10,C00114985,1000,2026-04-11,5
11,C00114985,594,2026-04-11,5
12,C00114985,967,2026-01-15,6
13,C00114995,35,2026-04-16,7
14,C00114995,88,2027-01-10,8
15,C00114995,367,2026-10-30,9
16,C00114995,117,2025-12-06,10
17,C00114995,99,2026-07-19,11
18,C001155245,80,2026-04-27,12
19,C001155245,201,2026-02-27,13
20,C001155245,560,2025-10-26,14
21,C001155245,284,2026-05-06,15
22,C00115595,256,2026-05-20,16
23,C00115595,195,2026-07-05,17
24,C00115735,1000,2025-07-16,18
25,C00115735,1000,2025-07-16,18
26,C00115735,1000,2025-07-16,18
27,C00115735,1000,2025-07-16,18
28,C00115735,1000,2025-07-16,18
29,C00115735,200,2025-07-16,18
30,C00115735,1000,2026-03-12,19
31,C00115735,1000,2026-03-12,19
32,C00115735,1000,2026-03-12,19
33,C00115735,596,2026-03-12,19
34,C00115735,1000,2026-01-23,20
35,C00115735,1000,2026-01-23,20
36,C00115735,1000,2026-01-23,20
37,C00115735,426,2026-01-23,20
38,C00115735,1000,2025-12-17,21
39,C00115735,63,2025-12-17,21
40,C00115735,1000,2025-11-25,22
41,C00115735,1000,2025-11-25,22
42,C00115735,1000,2025-11-25,22
43,C00115735,951,2025-11-25,22
44,C00115735,1000,2026-01-27,23
45,C00115735,1000,2026-01-27,23
46,C00115735,1000,2026-01-27,23
47,C00115735,1000,2026-01-27,23
48,C00115735,520,2026-01-27,23
49,C001158915,52,2025-07-16,24
50,C001158915,17,2025-10-29,25
51,C00116445,422,2025-11-30,26
52,C00116505,103,2025-10-19,27
53,C00116505,77,2025-09-11,28
54,C00116505,39,2026-02-24,29
55,C00116505,250,2026-06-06,30
56,C00116535,1000,2026-12-22,31
57,C00116535,705,2026-12-22,31
58,C00116535,355,2026-08-02,32
59,C00116535,1000,2025-12-22,33
60,C00116535,541,2025-12-22,33
61,C00116535,1000,2026-06-30,34
62,C00116535,67,2026-06-30,34
63,C00116535,1000,2026-10-14,35
64,C00116535,1000,2026-10-14,35
65,C00116535,173,2026-10-14,35
66,C00116555,45,2026-02-25,36
67,C00116555,67,2026-04-20,37
68,C00116555,39,2026-05-12,38
